Month,Industries_luok,Information,value
2018M10,Transport and storage,"Bankruptcies instigated, number of enterprises",28
2018M10,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",15
2018M10,Other service activities,"Bankruptcies instigated, number of enterprises",74
2018M10,Industry unknown,"Bankruptcies instigated, number of enterprises",2
2018M11,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",6
2018M11,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",18
2018M11,Construction,"Bankruptcies instigated, number of enterprises",32
2018M11,Trade,"Bankruptcies instigated, number of enterprises",29
2018M11,Transport and storage,"Bankruptcies instigated, number of enterprises",16
2018M11,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",26
2018M11,Other service activities,"Bankruptcies instigated, number of enterprises",52
2018M11,Industry unknown,"Bankruptcies instigated, number of enterprises",3
2018M12,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",2
2018M12,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",13
2018M12,Construction,"Bankruptcies instigated, number of enterprises",28
2018M12,Trade,"Bankruptcies instigated, number of enterprises",25
2018M12,Transport and storage,"Bankruptcies instigated, number of enterprises",10
2018M12,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",18
2018M12,Other service activities,"Bankruptcies instigated, number of enterprises",38
2018M12,Industry unknown,"Bankruptcies instigated, number of enterprises",2
2019M01,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",7
2019M01,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",15
2019M01,Construction,"Bankruptcies instigated, number of enterprises",59
2019M01,Trade,"Bankruptcies instigated, number of enterprises",58
2019M01,Transport and storage,"Bankruptcies instigated, number of enterprises",23
2019M01,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",18
2019M01,Other service activities,"Bankruptcies instigated, number of enterprises",69
2019M01,Industry unknown,"Bankruptcies instigated, number of enterprises",0
2019M02,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",5
2019M02,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",20
2019M02,Construction,"Bankruptcies instigated, number of enterprises",28
2019M02,Trade,"Bankruptcies instigated, number of enterprises",38
2019M02,Transport and storage,"Bankruptcies instigated, number of enterprises",20
2019M02,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",25
2019M02,Other service activities,"Bankruptcies instigated, number of enterprises",68
2019M02,Industry unknown,"Bankruptcies instigated, number of enterprises",4
2019M03,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",10
2019M03,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",16
2019M03,Construction,"Bankruptcies instigated, number of enterprises",51
2019M03,Trade,"Bankruptcies instigated, number of enterprises",37
2019M03,Transport and storage,"Bankruptcies instigated, number of enterprises",20
2019M03,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",21
2019M03,Other service activities,"Bankruptcies instigated, number of enterprises",66
2019M03,Industry unknown,"Bankruptcies instigated, number of enterprises",1
2019M04,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",6
2019M04,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",16
2019M04,Construction,"Bankruptcies instigated, number of enterprises",53
2019M04,Trade,"Bankruptcies instigated, number of enterprises",52
2019M04,Transport and storage,"Bankruptcies instigated, number of enterprises",12
2019M04,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",27
2019M04,Other service activities,"Bankruptcies instigated, number of enterprises",65
2019M04,Industry unknown,"Bankruptcies instigated, number of enterprises",0
2019M05,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",9
2019M05,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",22
2019M05,Construction,"Bankruptcies instigated, number of enterprises",41
2019M05,Trade,"Bankruptcies instigated, number of enterprises",39
2019M05,Transport and storage,"Bankruptcies instigated, number of enterprises",14
2019M05,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",25
2019M05,Other service activities,"Bankruptcies instigated, number of enterprises",63
2019M05,Industry unknown,"Bankruptcies instigated, number of enterprises",3
2019M06,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",7
2019M06,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",22
2019M06,Construction,"Bankruptcies instigated, number of enterprises",51
2019M06,Trade,"Bankruptcies instigated, number of enterprises",35
2019M06,Transport and storage,"Bankruptcies instigated, number of enterprises",15
2019M06,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",22
2019M06,Other service activities,"Bankruptcies instigated, number of enterprises",66
2019M06,Industry unknown,"Bankruptcies instigated, number of enterprises",6
2019M07,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",7
2019M07,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",23
2019M07,Construction,"Bankruptcies instigated, number of enterprises",44
2019M07,Trade,"Bankruptcies instigated, number of enterprises",42
2019M07,Transport and storage,"Bankruptcies instigated, number of enterprises",14
2019M07,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",20
2019M07,Other service activities,"Bankruptcies instigated, number of enterprises",51
2019M07,Industry unknown,"Bankruptcies instigated, number of enterprises",1
2019M08,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",1
2019M08,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",15
2019M08,Construction,"Bankruptcies instigated, number of enterprises",35
2019M08,Trade,"Bankruptcies instigated, number of enterprises",34
2019M08,Transport and storage,"Bankruptcies instigated, number of enterprises",17
2019M08,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",19
2019M08,Other service activities,"Bankruptcies instigated, number of enterprises",63
2019M08,Industry unknown,"Bankruptcies instigated, number of enterprises",4
2019M09,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",8
2019M09,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",21
2019M09,Construction,"Bankruptcies instigated, number of enterprises",47
2019M09,Trade,"Bankruptcies instigated, number of enterprises",32
2019M09,Transport and storage,"Bankruptcies instigated, number of enterprises",21
2019M09,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",30
2019M09,Other service activities,"Bankruptcies instigated, number of enterprises",76
2019M09,Industry unknown,"Bankruptcies instigated, number of enterprises",0
2019M10,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",9
2019M10,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",26
2019M10,Construction,"Bankruptcies instigated, number of enterprises",42
2019M10,Trade,"Bankruptcies instigated, number of enterprises",40
2019M10,Transport and storage,"Bankruptcies instigated, number of enterprises",13
2019M10,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",29
2019M10,Other service activities,"Bankruptcies instigated, number of enterprises",94
2019M10,Industry unknown,"Bankruptcies instigated, number of enterprises",1
2019M11,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",4
2019M11,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",21
2019M11,Construction,"Bankruptcies instigated, number of enterprises",42
2019M11,Trade,"Bankruptcies instigated, number of enterprises",38
2019M11,Transport and storage,"Bankruptcies instigated, number of enterprises",20
2019M11,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",21
2019M11,Other service activities,"Bankruptcies instigated, number of enterprises",83
2019M11,Industry unknown,"Bankruptcies instigated, number of enterprises",1
2019M12,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",1
2019M12,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",23
2019M12,Construction,"Bankruptcies instigated, number of enterprises",27
2019M12,Trade,"Bankruptcies instigated, number of enterprises",23
2019M12,Transport and storage,"Bankruptcies instigated, number of enterprises",6
2019M12,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",16
2019M12,Other service activities,"Bankruptcies instigated, number of enterprises",66
2019M12,Industry unknown,"Bankruptcies instigated, number of enterprises",2
2020M01,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",7
2020M01,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",28
2020M01,Construction,"Bankruptcies instigated, number of enterprises",56
2020M01,Trade,"Bankruptcies instigated, number of enterprises",51
2020M01,Transport and storage,"Bankruptcies instigated, number of enterprises",19
2020M01,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",36
2020M01,Other service activities,"Bankruptcies instigated, number of enterprises",98
2020M01,Industry unknown,"Bankruptcies instigated, number of enterprises",1
2020M02,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",6
2020M02,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",31
2020M02,Construction,"Bankruptcies instigated, number of enterprises",58
2020M02,Trade,"Bankruptcies instigated, number of enterprises",49
2020M02,Transport and storage,"Bankruptcies instigated, number of enterprises",22
2020M02,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",17
2020M02,Other service activities,"Bankruptcies instigated, number of enterprises",84
2020M02,Industry unknown,"Bankruptcies instigated, number of enterprises",1
2020M03,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",6
